No,Cakupan,Satuan,Fisik,Psikis,Seksual
1,ACEH,Anak,165,226,255
2,SUMATERA UTARA,Anak,339,152,506
3,SUMATERA BARAT,Anak,120,110,361
4,RIAU,Anak,91,148,347
5,JAMBI,Anak,62,47,136
6,SUMATERA SELATAN,Anak,100,49,184
7,BENGKULU,Anak,29,42,99
8,LAMPUNG,Anak,79,119,386
9,KEPULAUAN BANGKA BELITUNG,Anak,43,26,71
10,KEPULAUAN RIAU,Anak,64,101,229
11,DKI JAKARTA,Anak,199,159,423
12,JAWA BARAT,Anak,169,209,678
13,JAWA TENGAH,Anak,207,417,873
14,DI YOGYAKARTA,Anak,64,251,325
15,JAWA TIMUR,Anak,332,430,784
16,BANTEN,Anak,127,169,440
17,BALI,Anak,40,61,87
18,NUSA TENGGARA BARAT,Anak,104,97,263
19,NUSA TENGGARA TIMUR,Anak,130,188,348
20,KALIMANTAN BARAT,Anak,55,46,277
21,KALIMANTAN TENGAH,Anak,46,66,160
22,KALIMANTAN SELATAN,Anak,95,141,172
23,KALIMANTAN TIMUR,Anak,130,86,312
24,KALIMANTAN UTARA,Anak,49,51,115
25,SULAWESI UTARA,Anak,148,53,352
26,SULAWESI TENGAH,Anak,128,129,243
27,SULAWESI SELATAN,Anak,286,308,388
28,SULAWESI TENGGARA,Anak,69,33,158
29,GORONTALO,Anak,40,8,106
30,SULAWESI BARAT,Anak,41,27,45
31,MALUKU,Anak,83,66,115
32,MALUKU UTARA,Anak,42,27,178
33,PAPUA BARAT,Anak,45,66,82
34,PAPUA,Anak,25,54,90
35,INDONESIA ,,3746,4162,9588
